clipname,Eat,StandUp,SitDown,HugPerson,Kiss,SitUp,AnswerPhone,HandShake,FightPerson,DriveCar,Run,GetOutCar
actionclipautoautotrain00001,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00002,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00003,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
actionclipautoautotrain00004,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
actionclipautoautotrain00005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
actionclipautoautotrain00006,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00007,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00008,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00010,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
actionclipautoautotrain00011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
actionclipautoautotrain00012,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
actionclipautoautotrain00013,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
actionclipautoautotrain00014,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
actionclipautoautotrain00015,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
actionclipautoautotrain00016,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00017,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00018,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
actionclipautoautotrain00020,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
actionclipautoautotrain00021,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
actionclipautoautotrain00022,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
